,champion_name,champion_class,patch,y_true,y_pred,error,abs_error
662,Aatrox,Fighter,14.22,1.2000000000000028,0.17320459,1.0267954140901594,1.0267954140901594
514,Ahri,Mage,14.18,-0.20000000000000284,0.4199766,-0.6199765920639067,0.6199765920639067
472,Akali,Assassin,14.15,0.5799999999999983,-0.29639927,0.8763992655277235,0.8763992655277235
663,Anivia,Mage,14.22,0.509999999999998,0.1597217,0.350278297662733,0.350278297662733
619,Aphelios,Marksman,14.20,0.980000000000004,-0.09991795,1.0799179482460062,1.0799179482460062
497,Ashe,Marksman,14.17,-2.049999999999997,-0.17871135,-1.8712886452674837,1.8712886452674837
637,AurelionSol,Mage,14.21,-1.7100000000000009,0.11941263,-1.8294126307964333,1.8294126307964333
486,Aurora,Mage,14.16,2.0,0.23383653,1.7661634683609009,1.7661634683609009
498,Aurora,Mage,14.17,-0.8599999999999994,-0.9689518,0.10895182132721004,0.10895182132721004
689,Aurora,Mage,14.23,-0.21999999999999886,-0.3761907,0.15619069218635673,0.15619069218635673
487,Azir,Mage,14.16,-3.25,0.69026196,-3.940261960029602,3.940261960029602
515,Azir,Mage,14.18,-4.539999999999999,-3.058693,-1.481307067871093,1.481307067871093
638,Azir,Mage,14.21,1.519999999999996,1.0553359,0.4646641206741293,0.4646641206741293
664,Blitzcrank,Tank,14.22,-1.2800000000000011,-0.22658695,-1.053413047194482,1.053413047194482
639,Brand,Mage,14.21,-0.37999999999999545,0.08690031,-0.46690030872821353,0.46690030872821353
665,Briar,Fighter,14.22,1.1400000000000006,0.39901793,0.7409820699691778,0.7409820699691778
499,Caitlyn,Marksman,14.17,-1.3400000000000034,-0.08616868,-1.253831323385242,1.253831323385242
620,Caitlyn,Marksman,14.20,1.8100000000000023,1.9806881,-0.17068809509277116,0.17068809509277116
690,Caitlyn,Marksman,14.23,-1.230000000000004,-1.1214421,-0.1085579204559366,0.1085579204559366
640,Camille,Fighter,14.21,-1.5200000000000031,-0.09309097,-1.4269090336561234,1.4269090336561234
475,Cassiopeia,Mage,14.15,1.5800000000000054,1.2651863,0.3148136901855523,0.3148136901855523
488,Corki,Marksman,14.16,-2.6899999999999977,-1.6144254,-1.0755745792388893,1.0755745792388893
516,Corki,Marksman,14.18,-4.790000000000006,-3.0317438,-1.758256235122687,1.758256235122687
621,Corki,Marksman,14.20,4.3700000000000045,1.721989,2.6480109643936203,2.6480109643936203
641,Corki,Marksman,14.21,7.509999999999998,7.2403197,0.26968027114867965,0.26968027114867965
666,Corki,Marksman,14.22,-1.9399999999999977,0.3177651,-2.2577650868892647,2.2577650868892647
704,Corki,Marksman,14.24,-0.35999999999999943,-0.09557289,-0.26442711114883366,0.26442711114883366
1162,DrMundo,Tank,14.15,-0.7800000000000011,0.22887391,-1.008873908519746,1.008873908519746
1163,DrMundo,Tank,14.16,0.10000000000000142,0.18265523,-0.08265523016452647,0.08265523016452647
1164,DrMundo,Tank,14.17,-1.6099999999999994,-1.6261828,0.01618279457092342,0.01618279457092342
1165,DrMundo,Tank,14.18,-1.0200000000000031,-1.1969688,0.17696879386901543,0.17696879386901543
1166,DrMundo,Tank,14.19,4.289999999999999,3.8968663,0.39313367843627844,0.39313367843627844
1167,DrMundo,Tank,14.20,-1.8299999999999983,-1.6758366,-0.15416343688964673,0.15416343688964673
1168,DrMundo,Tank,14.21,0.5399999999999991,0.55377156,-0.013771555423737425,0.013771555423737425
1169,DrMundo,Tank,14.22,1.0600000000000023,0.9414752,0.11852478742599715,0.11852478742599715
1170,DrMundo,Tank,14.23,-0.23000000000000398,-0.22948445,-0.000515546202663586,0.000515546202663586
1171,DrMundo,Tank,14.24,-1.2199999999999989,-1.2138486,-0.006151409149168785,0.006151409149168785
642,Elise,Mage,14.21,0.7700000000000031,-0.52718335,1.2971833539009126,1.2971833539009126
706,Elise,Mage,14.24,0.04999999999999716,0.06586906,-0.015869063138964634,0.015869063138964634
476,Ezreal,Marksman,14.15,-1.2800000000000011,-0.13325554,-1.1467444586753857,1.1467444586753857
500,Ezreal,Marksman,14.17,-0.269999999999996,-0.085710146,-0.18428985446691115,0.18428985446691115
643,Fiddlesticks,Mage,14.21,0.8299999999999983,0.055434316,0.774565683603285,0.774565683603285
667,Fizz,Assassin,14.22,-0.38000000000000256,0.17320459,-0.553204585909846,0.553204585909846
644,Galio,Tank,14.21,0.28000000000000114,0.45006812,-0.17006811618804818,0.17006811618804818
517,Gnar,Fighter,14.18,-3.4399999999999977,-0.6043122,-2.8356878185272194,2.8356878185272194
501,Graves,Marksman,14.17,-0.18000000000000682,0.12465324,-0.3046532425284454,0.3046532425284454
518,Hwei,Mage,14.18,-0.14999999999999858,0.043659676,-0.193659675866364,0.193659675866364
645,Hwei,Mage,14.21,1.1199999999999974,1.2946278,-0.17462778568268078,0.17462778568268078
668,Illaoi,Fighter,14.22,-2.9399999999999977,0.5007213,-3.4407212758064247,3.4407212758064247
477,Irelia,Fighter,14.15,0.3399999999999963,-0.05467816,0.39467816069721806,0.39467816069721806
646,Irelia,Fighter,14.21,0.19000000000000483,0.2641791,-0.07417911052703374,0.07417911052703374
519,Ivern,Tank,14.18,-3.8299999999999983,-0.028178088,-3.801821911633013,3.801821911633013
521,Jax,Fighter,14.18,0.9500000000000028,1.477857,-0.5278569936752291,0.5278569936752291
669,Jax,Fighter,14.22,-1.3100000000000023,-1.4153359,0.10533589363097917,0.10533589363097917
522,Jayce,Marksman,14.18,1.8500000000000014,0.075496756,1.7745032444596305,1.7745032444596305
623,Jhin,Marksman,14.20,0.4299999999999997,1.2311494,-0.8011494350433352,0.8011494350433352
523,Jinx,Marksman,14.18,-0.740000000000002,1.6788561,-2.418856134414675,2.418856134414675
691,Jinx,Marksman,14.23,-1.1600000000000037,-0.9594306,-0.20056942462921512,0.20056942462921512
541,KSante,Tank,14.19,1.9299999999999997,-1.0638313,2.993831329345703,2.993831329345703
624,KSante,Tank,14.20,1.2899999999999991,1.375998,-0.08599802017212,0.08599802017212
648,Karthus,Mage,14.21,0.21999999999999886,0.096297845,0.12370215475559121,0.12370215475559121
649,Kassadin,Mage,14.21,0.5300000000000011,-0.005751236,0.5357512358762335,0.5357512358762335
489,Katarina,Mage,14.16,-0.6199999999999974,0.041706905,-0.6617069047689412,0.6617069047689412
502,Katarina,Mage,14.17,-0.44999999999999574,-0.42309642,-0.026903581619258432,0.026903581619258432
671,Katarina,Mage,14.22,0.3499999999999943,0.23403715,0.11596285402774242,0.11596285402774242
650,Kayle,Mage,14.21,0.12000000000000455,0.9369397,-0.8169397163391068,0.8169397163391068
503,Kennen,Mage,14.17,-0.11999999999999744,0.33564144,-0.4556414437293981,0.4556414437293981
693,Khazix,Assassin,14.23,-1.25,-0.50662553,-0.7433744668960571,0.7433744668960571
504,Kindred,Assassin,14.17,0.240000000000002,-0.060373086,0.30037308648228844,0.30037308648228844
1068,Kled,Fighter,14.15,-0.21000000000000085,1.8257041,-2.0357040977478036,2.0357040977478036
1069,Kled,Fighter,14.16,-1.9599999999999937,-1.7823758,-0.17762418746947617,0.17762418746947617
1070,Kled,Fighter,14.17,-0.10000000000000142,-0.22502382,0.12502382099628306,0.12502382099628306
1071,Kled,Fighter,14.18,3.549999999999997,6.1294966,-2.5794965744018583,2.5794965744018583
1072,Kled,Fighter,14.19,-3.9200000000000017,-2.9064727,-1.0135273170471208,1.0135273170471208
1073,Kled,Fighter,14.20,-1.1799999999999997,-1.282794,0.102793998718262,0.102793998718262
1074,Kled,Fighter,14.21,2.6799999999999997,2.5912201,0.0887798595428464,0.0887798595428464
1075,Kled,Fighter,14.22,0.09000000000000341,0.35498875,-0.26498875379562037,0.26498875379562037
1076,Kled,Fighter,14.23,-2.1899999999999977,-2.1980727,0.008072671890261063,0.008072671890261063
1077,Kled,Fighter,14.24,0.11999999999999744,-0.03616458,0.15616458177566273,0.15616458177566273
974,KogMaw,Marksman,14.15,-0.20000000000000284,1.8680874,-2.0680874109268217,2.0680874109268217
975,KogMaw,Marksman,14.16,-2.809999999999995,-2.6486022,-0.161397752761836,0.161397752761836
976,KogMaw,Marksman,14.17,1.0300000000000011,0.8294666,0.20053341865539664,0.20053341865539664
977,KogMaw,Marksman,14.18,-0.3300000000000054,-0.3507592,0.02075920820235666,0.02075920820235666
978,KogMaw,Marksman,14.19,1.4299999999999997,1.2920833,0.13791673660278292,0.13791673660278292
979,KogMaw,Marksman,14.20,-0.6899999999999977,-0.62100345,-0.06899655103683244,0.06899655103683244
980,KogMaw,Marksman,14.21,-0.20000000000000284,-0.21807638,0.01807637810706808,0.01807637810706808
981,KogMaw,Marksman,14.22,-0.00999999999999801,-0.12856993,0.11856993079185685,0.11856993079185685
982,KogMaw,Marksman,14.23,-1.0899999999999963,-1.0700288,-0.019971218109127165,0.019971218109127165
983,KogMaw,Marksman,14.24,0.28000000000000114,0.27092114,0.00907885909080619,0.00907885909080619
625,LeeSin,Fighter,14.20,0.21999999999999886,-0.12581603,0.34581603229045754,0.34581603229045754
478,Leona,Tank,14.15,0.04999999999999716,0.8840242,-0.8340242028236418,0.8340242028236418
524,Leona,Tank,14.18,-2.200000000000003,-2.285913,0.08591299057006552,0.08591299057006552
525,Lillia,Mage,14.18,0.1700000000000017,1.5968106,-1.426810579299925,1.426810579299925
672,Lillia,Mage,14.22,-2.25,-2.403885,0.1538848876953125,0.1538848876953125
506,Lissandra,Mage,14.17,1.3899999999999935,2.400008,-1.0100079631805485,1.0100079631805485
526,Lissandra,Mage,14.18,-3.519999999999996,-3.1055632,-0.4144368362426718,0.4144368362426718
490,Lucian,Marksman,14.16,-0.5700000000000003,0.14605556,-0.7160555642843249,0.7160555642843249
527,Lulu,Support,14.18,0.980000000000004,1.074427,-0.09442700862884124,0.09442700862884124
528,Malphite,Tank,14.18,0.1700000000000017,1.4964803,-1.3264803457260115,1.3264803457260115
651,Malphite,Tank,14.21,-0.990000000000002,-1.0352423,0.045242319107053675,0.045242319107053675
529,Maokai,Tank,14.18,-6.580000000000005,-2.2922266,-4.287773447036749,4.287773447036749
673,Maokai,Tank,14.22,5.780000000000001,3.9022362,1.877763776779176,1.877763776779176
530,MissFortune,Marksman,14.18,-1.4200000000000017,0.22256495,-1.642564950585367,1.642564950585367
674,MonkeyKing,Fighter,14.22,1.259999999999998,1.1589369,0.10106314182281295,0.10106314182281295
626,Mordekaiser,Fighter,14.20,0.9699999999999989,0.42881635,0.5411836516857136,0.5411836516857136
675,Mordekaiser,Fighter,14.22,0.6700000000000017,0.67452174,-0.004521744251249515,0.004521744251249515
531,Nasus,Fighter,14.18,0.25,0.5157095,-0.2657095193862915,0.2657095193862915
652,Nasus,Fighter,14.21,0.8500000000000014,0.9893987,-0.1393987178802476,0.1393987178802476
1257,Nocturne,Assassin,14.15,-0.6499999999999986,0.29649165,-0.9464916527271257,0.9464916527271257
1258,Nocturne,Assassin,14.16,-0.5200000000000031,-0.55498487,0.0349848675727813,0.0349848675727813
1259,Nocturne,Assassin,14.17,0.7100000000000009,0.69913286,0.01086714029312219,0.01086714029312219
1260,Nocturne,Assassin,14.18,-2.3299999999999983,-2.402438,0.07243792533874682,0.07243792533874682
1261,Nocturne,Assassin,14.19,2.039999999999999,1.6368579,0.4031421327590934,0.4031421327590934
1262,Nocturne,Assassin,14.20,0.4399999999999977,0.52545005,-0.08545005083084334,0.08545005083084334
1263,Nocturne,Assassin,14.21,-0.07000000000000028,-0.11543939,0.04543939262628527,0.04543939262628527
1264,Nocturne,Assassin,14.22,-0.4200000000000017,-0.4506431,0.030643092393873417,0.030643092393873417
1265,Nocturne,Assassin,14.23,0.44000000000000483,0.5154244,-0.0754243707656812,0.0754243707656812
1266,Nocturne,Assassin,14.24,-0.3299999999999983,-0.34059802,0.010598016977311886,0.010598016977311886
1021,Nunu,Tank,14.15,3.299999999999997,0.5568601,2.743139910697934,2.743139910697934
1022,Nunu,Tank,14.16,-1.3699999999999974,-1.2986423,-0.07135772228240711,0.07135772228240711
1023,Nunu,Tank,14.17,0.21999999999999886,0.17967065,0.040329353213309105,0.040329353213309105
1024,Nunu,Tank,14.18,0.509999999999998,0.54338586,-0.03338586330414017,0.03338586330414017
1025,Nunu,Tank,14.19,0.9500000000000028,1.0345777,-0.08457772731780722,0.08457772731780722
1026,Nunu,Tank,14.20,-1.4699999999999989,-1.355752,-0.1142480087280262,0.1142480087280262
1027,Nunu,Tank,14.21,0.4799999999999969,0.38569155,0.09430844664573357,0.09430844664573357
1028,Nunu,Tank,14.22,-0.10999999999999943,-0.21531303,0.10531303226947841,0.10531303226947841
1029,Nunu,Tank,14.23,1.0799999999999983,1.2397264,-0.15972642421722583,0.15972642421722583
1030,Nunu,Tank,14.24,-1.019999999999996,-1.0258317,0.00583169937134187,0.00583169937134187
627,Pantheon,Fighter,14.20,-2.6299999999999955,-0.24501248,-2.3849875229597046,2.3849875229597046
628,Poppy,Tank,14.20,1.6899999999999977,0.8875696,0.802430393695829,0.802430393695829
676,Poppy,Tank,14.22,-0.6300000000000026,-0.3842179,-0.245782111883166,0.245782111883166
708,Poppy,Tank,14.24,0.20000000000000284,-0.12619935,0.32619934976101206,0.32619934976101206
507,Pyke,Support,14.17,0.9699999999999989,-0.1752998,1.1452997934818256,1.1452997934818256
491,Qiyana,Assassin,14.16,-1.4500000000000028,0.46945992,-1.9194599211216001,1.9194599211216001
653,Qiyana,Assassin,14.21,-1.8500000000000014,-1.6639551,-0.18604490756988667,0.18604490756988667
696,Rammus,Tank,14.23,-1.8599999999999994,0.5674876,-2.4274875974655146,2.4274875974655146
697,Rell,Tank,14.23,-3.8800000000000026,-1.2461797,-2.6338203001022364,2.6338203001022364
709,Rell,Tank,14.24,3.5799999999999983,3.5502124,0.029787616729734623,0.029787616729734623
1210,Renata,Support,14.15,-1.519999999999996,-0.6691228,-0.8508771848678549,0.8508771848678549
1211,Renata,Support,14.16,1.7199999999999989,1.490845,0.22915503501891976,0.22915503501891976
1212,Renata,Support,14.17,2.4299999999999997,2.429236,0.0007640647888180752,0.0007640647888180752
1213,Renata,Support,14.18,-2.1300000000000026,-2.0564182,-0.07358181953430432,0.07358181953430432
1214,Renata,Support,14.19,0.8100000000000023,0.92138034,-0.11138034105300676,0.11138034105300676
1215,Renata,Support,14.20,-2.1199999999999974,-2.1957946,0.07579458236694592,0.07579458236694592
1216,Renata,Support,14.21,0.6099999999999994,0.47214335,0.13785664796829167,0.13785664796829167
1217,Renata,Support,14.22,0.030000000000001137,0.12534605,-0.09534604966640359,0.09534604966640359
1218,Renata,Support,14.23,0.5399999999999991,0.4029307,0.1370692932605735,0.1370692932605735
1219,Renata,Support,14.24,-0.09000000000000341,-0.15035766,0.0603576636314358,0.0603576636314358
698,Rengar,Assassin,14.23,-3.1299999999999955,-1.0948796,-2.0351203727722122,2.0351203727722122
629,Riven,Fighter,14.20,0.0,0.6425338,-0.6425337791442871,0.6425337791442871
710,Riven,Fighter,14.24,-0.9199999999999946,-0.9075103,-0.01248971939086374,0.01248971939086374
532,Rumble,Mage,14.18,-2.960000000000001,-1.3584582,-1.601541838645936,1.601541838645936
677,Rumble,Mage,14.22,1.8100000000000023,1.883,-0.0730000162124611,0.0730000162124611
711,Rumble,Mage,14.24,-0.14999999999999858,-0.090504125,-0.05949587523937083,0.05949587523937083
508,Ryze,Mage,14.17,2.6000000000000014,0.51464856,2.085351443290712,2.085351443290712
492,Senna,Support,14.16,2.3699999999999974,1.7336028,0.6363972377777074,0.6363972377777074
509,Senna,Support,14.17,-0.9699999999999989,-0.94844097,-0.021559031009672935,0.021559031009672935
654,Senna,Support,14.21,-1.0600000000000023,-1.3604699,0.30046993732452165,0.30046993732452165
510,Seraphine,Mage,14.17,-0.09000000000000341,-0.07839241,-0.011607591211799217,0.011607591211799217
678,Seraphine,Mage,14.22,0.3200000000000003,0.25002253,0.06997746944427519,0.06997746944427519
880,Sett,Fighter,14.15,-0.8699999999999974,0.20167549,-1.071675489544866,1.071675489544866
881,Sett,Fighter,14.16,0.6499999999999986,0.699805,-0.04980502128601216,0.04980502128601216
882,Sett,Fighter,14.17,-0.11999999999999744,-0.17826276,0.0582627552747752,0.0582627552747752
883,Sett,Fighter,14.18,2.039999999999999,1.8928066,0.1471933507919303,0.1471933507919303
884,Sett,Fighter,14.19,-4.030000000000001,-3.1457663,-0.884233741760255,0.884233741760255
885,Sett,Fighter,14.20,2.1700000000000017,2.172287,-0.0022869873046857947,0.0022869873046857947
886,Sett,Fighter,14.21,-1.0500000000000043,-0.9772533,-0.07274668216705749,0.07274668216705749
887,Sett,Fighter,14.22,0.28999999999999915,0.21497159,0.07502841293811713,0.07502841293811713
888,Sett,Fighter,14.23,-0.6599999999999966,-0.74011004,0.08011003971100195,0.08011003971100195
889,Sett,Fighter,14.24,0.6400000000000006,0.55038875,0.08961124658584652,0.08961124658584652
679,Shen,Tank,14.22,0.28000000000000114,0.4123749,-0.13237491369247323,0.13237491369247323
479,Shyvana,Fighter,14.15,1.5500000000000043,1.7808894,-0.23088939189910462,0.23088939189910462
699,Shyvana,Fighter,14.23,-2.5700000000000003,-2.5532851,-0.016714878082275675,0.016714878082275675
630,Singed,Tank,14.20,0.39000000000000057,-0.0649669,0.45496690213680324,0.45496690213680324
655,Sivir,Marksman,14.21,-0.730000000000004,0.28653166,-1.0165316569805185,1.0165316569805185
480,Skarner,Tank,14.15,-3.3900000000000006,-0.561108,-2.828892006874085,2.828892006874085
493,Skarner,Tank,14.16,1.6799999999999997,1.703894,-0.023894019126892374,0.023894019126892374
533,Smolder,Marksman,14.18,-2.1099999999999994,-0.8106713,-1.2993286705017084,1.2993286705017084
700,Smolder,Marksman,14.23,2.1300000000000026,2.1443396,-0.014339561462399786,0.014339561462399786
656,Swain,Mage,14.21,-1.4799999999999969,-1.6596146,0.17961456298828438,0.17961456298828438
680,Swain,Mage,14.22,3.0799999999999983,3.3092535,-0.22925345420837573,0.22925345420837573
712,Swain,Mage,14.24,-1.4100000000000037,-1.4730273,0.06302734851836789,0.06302734851836789
481,Sylas,Mage,14.15,-1.6499999999999986,-0.0139426,-1.6360573997721062,1.6360573997721062
494,Sylas,Mage,14.16,2.8699999999999974,2.746389,0.12361108779906971,0.12361108779906971
511,Sylas,Mage,14.17,-0.25,-0.2618771,0.011877089738845825,0.011877089738845825
681,Sylas,Mage,14.22,-2.3000000000000043,-2.4621267,0.16212673187255433,0.16212673187255433
495,Syndra,Mage,14.16,0.509999999999998,0.027099844,0.4829001559317092,0.4829001559317092
682,Syndra,Mage,14.22,0.1599999999999966,0.13564959,0.02435040831565516,0.02435040831565516
1115,TahmKench,Tank,14.15,3.9200000000000017,1.1887853,2.731214685440065,2.731214685440065
1116,TahmKench,Tank,14.16,-0.740000000000002,-0.7305565,-0.009443511962892615,0.009443511962892615
1117,TahmKench,Tank,14.17,-2.5700000000000003,-2.610049,0.04004900932311983,0.04004900932311983
1118,TahmKench,Tank,14.18,-1.1400000000000006,-1.2852544,0.14525435924529972,0.14525435924529972
1119,TahmKench,Tank,14.19,5.030000000000001,4.024818,1.005182056427003,1.005182056427003
1120,TahmKench,Tank,14.20,-3.3500000000000014,-3.1132457,-0.23675427436828755,0.23675427436828755
1121,TahmKench,Tank,14.21,2.0600000000000023,2.1096354,-0.04963535308837663,0.04963535308837663
1122,TahmKench,Tank,14.22,-0.1600000000000037,-0.18243615,0.02243615329265225,0.02243615329265225
1123,TahmKench,Tank,14.23,-0.09999999999999432,-0.14198393,0.041983926296239815,0.041983926296239815
1124,TahmKench,Tank,14.24,-0.37000000000000455,-0.32664582,-0.04335417866707303,0.04335417866707303
657,Talon,Assassin,14.21,0.5,0.5025498,-0.0025498270988464355,0.0025498270988464355
713,Talon,Assassin,14.24,-0.6499999999999986,-0.6532181,0.003218090534211626,0.003218090534211626
658,Teemo,Marksman,14.21,2.1999999999999957,0.8141397,1.3858602762222247,1.3858602762222247
702,Teemo,Marksman,14.23,-1.3900000000000006,-1.3450572,-0.0449427509307867,0.0449427509307867
542,Tristana,Marksman,14.19,-0.13999999999999346,-2.2146668,2.074666843414313,2.074666843414313
631,Tristana,Marksman,14.20,2.3499999999999943,2.3379054,0.012094593048090019,0.012094593048090019
632,Tryndamere,Fighter,14.20,-1.0100000000000051,0.020725634,-1.0307256339490465,1.0307256339490465
633,Udyr,Fighter,14.20,2.039999999999999,0.4095444,1.6304555916786185,1.6304555916786185
482,Varus,Marksman,14.15,1.5200000000000031,-0.1920769,1.7120769065618546,1.7120769065618546
513,Varus,Marksman,14.17,0.13000000000000256,0.12226442,0.0077355775237109015,0.0077355775237109015
534,Varus,Marksman,14.18,0.06999999999999318,0.135265,-0.06526499271393504,0.06526499271393504
683,Varus,Marksman,14.22,0.6900000000000048,0.7846798,-0.0946797704696607,0.0946797704696607
684,Vayne,Marksman,14.22,-0.2700000000000031,0.32456324,-0.5945632350444825,0.5945632350444825
496,Vi,Fighter,14.16,-1.740000000000002,0.10347794,-1.8434779399633427,1.8434779399633427
535,Vi,Fighter,14.18,-0.9100000000000037,-0.7118972,-0.19810280561447513,0.19810280561447513
686,Vi,Fighter,14.22,1.0700000000000003,1.079939,-0.009939007759093954,0.009939007759093954
536,Viego,Fighter,14.18,-0.5,0.6361165,-1.1361165046691895,1.1361165046691895
659,Viego,Fighter,14.21,-0.3100000000000023,-0.61420345,0.30420345306396257,0.30420345306396257
714,Viktor,Mage,14.24,0.3300000000000054,1.3391206,-1.0091206264495796,1.0091206264495796
927,Vladimir,Mage,14.15,1.2100000000000009,1.0066342,0.20336576461792077,0.20336576461792077
928,Vladimir,Mage,14.16,-0.8999999999999986,-0.8049312,-0.095068776607512,0.095068776607512
929,Vladimir,Mage,14.17,1.4699999999999989,1.4225929,0.04740712165832406,0.04740712165832406
930,Vladimir,Mage,14.18,-5.75,-3.6883187,-2.0616812705993652,2.0616812705993652
931,Vladimir,Mage,14.19,3.1599999999999966,2.2992437,0.8607563114166226,0.8607563114166226
932,Vladimir,Mage,14.20,1.3200000000000003,1.5085181,-0.1885180997848508,0.1885180997848508
933,Vladimir,Mage,14.21,-0.9399999999999977,-0.9325455,-0.007454516887662521,0.007454516887662521
934,Vladimir,Mage,14.22,0.6899999999999977,0.78928334,-0.0992833352088951,0.0992833352088951
935,Vladimir,Mage,14.23,-0.46000000000000085,-0.56432843,0.10432843208312903,0.10432843208312903
936,Vladimir,Mage,14.24,-0.030000000000001137,-0.12597016,0.09597015500068551,0.09597015500068551
660,Volibear,Tank,14.21,-1.3900000000000006,0.27536634,-1.6653663361072546,1.6653663361072546
687,Warwick,Tank,14.22,-0.0800000000000054,0.35161886,-0.43161885619164053,0.43161885619164053
715,Warwick,Tank,14.24,1.1900000000000048,1.88271,-0.6927099800109815,0.6927099800109815
661,Xayah,Marksman,14.21,2.3599999999999994,0.3359264,2.0240735864639277,2.0240735864639277
483,Yasuo,Assassin,14.15,0.3299999999999983,0.6035952,-0.27359519720077685,0.27359519720077685
634,Yasuo,Assassin,14.20,-1.7100000000000009,-1.5635742,-0.14642580509185876,0.14642580509185876
484,Yone,Fighter,14.15,1.0499999999999972,0.72627985,0.32372014522552206,0.32372014522552206
635,Yone,Fighter,14.20,-1.3899999999999935,-1.3245399,-0.06546010017394366,0.06546010017394366
716,Yuumi,Support,14.24,1.240000000000002,-0.13077319,1.3707731866836568,1.3707731866836568
485,Zed,Assassin,14.15,0.4799999999999969,0.13104309,0.3489569085836379,0.3489569085836379
539,Zeri,Marksman,14.18,-0.07000000000000028,0.075496756,-0.14549675554037123,0.14549675554037123
540,Ziggs,Mage,14.18,0.010000000000005116,0.6433582,-0.6333581709861704,0.6333581709861704
